author,nb_commentaires,total_likes,nb_reponses,score_influence
@abounnaims,1,2,0,5
@aryaszaky,2,0,1,5
@omahhakass6121,1,2,0,5
@user-fp8vl3mb2i,1,0,1,4
@wakeupmrye6908,1,0,1,4
@Moist_.Gnu51,1,0,1,4
@salam11153,1,0,1,4
@Mr-color_less,4,0,0,4
@keterscp1064,1,0,1,4
@Violin-Villain,1,0,1,4
@UserMA710,1,0,1,4
@Casaoasissz,1,0,1,4
@AntonioPeralesdelHierro,1,0,1,4
@zaidbenriane767,1,0,1,4
@issamchabaa45,4,0,0,4
@justice70567,1,0,1,4
@Ali_baba_II,1,0,1,4
@azed-t3t,1,0,1,4
@afrench4683,1,0,1,4
@adamnordinrogers,4,0,0,4
@adilelnhaily1960,1,0,1,4
@bima155,1,0,1,4
@bilalbehar8533,1,0,1,4
@Sultan_Assfou,1,0,1,4
@LoopyWoopyCharlie,1,0,1,4
@Isoform3,1,0,1,4
@nastehoibrahim14,2,1,0,4
@aminekaoukab4547,1,0,1,4
@alexandersam9538,1,0,1,4
@Jamal-b7j5g,1,0,1,4
@ayoubbenelmoudden4360,4,0,0,4
@aymanmillou2012,1,0,1,4
@bundz_,1,0,1,4
@azizikhench5451,1,0,1,4
@MRANONY2792,1,0,1,4
@InsideAfrica.,1,0,1,4
@hellalmeba3422,1,0,1,4
@ald1050,1,0,1,4
@Yousseffabidou,1,0,1,4
@ailel177,1,0,1,4
@Makeitrealforever,1,0,1,4
@MohaBakk-v7c,1,0,1,4
@spajjlak3713,1,0,1,4
@sofienehafiene1477,1,0,1,4
@SeguinSometimes,4,0,0,4
@mohamednsb-my8rc,1,0,1,4
@mo_elly86,1,0,1,4
@anesanes2410,1,0,1,4
@MiguelP-m4p,4,0,0,4
@monky5090,1,0,1,4
@mouradblf6703,1,0,1,4
@mills9402,1,0,1,4
@mimovil8730,1,0,1,4
@GRIZIUS3,1,0,1,4
@rachouak1195,1,0,1,4
@Letstravel_74,1,0,1,4
@Sidiredouane-wq1in,1,0,1,4
@smoreno5532,1,0,1,4
@progamer-gt9iy,1,0,1,4
@FilomenaMule,1,0,1,4
@Bruno-gj4jj,1,0,1,4
@dusscode,1,0,1,4
@gromlucas4283,1,0,1,4
@TheTrackRecord,1,0,1,4
@damsco,1,0,1,4
@darien4969,1,0,1,4
@mohamedanass3688,1,0,1,4
@ximfo4883,1,0,1,4
@watchwatc,1,0,1,4
@maladam1312,1,1,0,3
@lopesANDERSONsilva,3,0,0,3
@luctisser2262,1,1,0,3
@l2etranger,3,0,0,3
@lelik0911,3,0,0,3
@kubumshel,3,0,0,3
@kbcaps,3,0,0,3
@kenfu9334,1,1,0,3
@AmbaSpirit-l7s,1,1,0,3
@tomy0484,3,0,0,3
@thezegui93,3,0,0,3
@Boug0014,3,0,0,3
@Ben-k5,1,1,0,3
@BeyondEverythin,1,1,0,3
@Dabadaba655-z3sz,3,0,0,3
@CookieCIAA,1,1,0,3
@Cutechucklefart,1,1,0,3
@Abel-d7i1t,1,1,0,3
